State,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
Alabama,49936,52105,49412,47175,44888,51092,47624,47654,47244,46905,51999,51248,47382,47885,48812,50988,52633,49989,51798,54806,55997,49983,48447,42661,45714,43041,45403,43896,43645,41733,40823,41844,41963,40915,39958
Alaska,68734,79888,79237,79611,71804,78249,69739,64260,66767,72275,74812,76477,70437,72041,73378,70945,73868,81556,77275,77703,78271,75109,84383,78710,76258,73670,73541,73224,73433,70599,67745,70468,68775,77625,74689
Arizona,62283,61155,59750,55378,52294,56805,51546,54403,54127,53662,54849,57321,58250,58319,58430,56340,55616,60715,58172,55931,57269,51237,50581,50658,52601,52355,51649,55420,54609,55984,54099,56719,55931,53287,49457
Arkansas,49781,50964,48037,45362,47695,42515,42752,46213,44536,42867,46282,49527,46265,47250,46620,43798,45332,47400,43424,44875,42716,40942,43364,42370,42972,39535,42015,42254,42578,42025,41282,39921,41082,38946,36181
California,70489,71745,69729,67448,64221,65640,62477,59713,62652,65858,66658,67664,69065,66710,65594,67473,66397,67195,68456,65961,63204,62120,62052,60745,59388,58470,61404,60697,62206,64723,61982,63922,63629,60215,58372
Colorado,73034,76812,73841,70585,64702,73325,62735,65601,69520,65618,71251,74228,69537,65026,67811,68349,67597,70231,70538,72837,71951,67658,65470,66813,63594,59182,57148,56793,57428,52560,53647,56140,59642,62895,59558
Connecticut,72812,76115,79446,77255,74492,74814,70396,73194,76174,76085,75623,77870,77910,73258,73427,75226,74726,75847,73363,76489,71811,68835,67339,66054,69080,67810,71851,76005,72633,82981,74109,69681,71769,69385,69138
Delaware,65012,66545,60740,61216,61073,58402,53659,61160,63727,61141,59278,66274,65468,66039,64031,67088,69495,70522,73646,70495,64013,67345,62847,57330,60299,61886,62767,58752,57561,62878,62428,62009,56207,51285,59600
D.C.,85750,83263,74276,74268,72492,64844,71490,61821,65705,62346,64993,61653,60523,57994,57903,61648,54686,58532,60276,58463,51622,49860,51107,50469,50622,46854,53213,53883,51185,52454,54725,58216,53347,47036,47109
Florida,54644,54380,53551,51750,48988,52400,50480,50468,50860,53535,52444,55596,57026,55412,54017,53338,53222,51782,56817,54171,53901,50791,48989,48822,49241,48992,48114,49136,49864,51147,51993,51927,50116,47632,45671
Georgia,55821,59398,56011,53809,52614,50738,52726,51440,50919,50848,54046,59053,61605,59196,54616,58081,60102,60533,61269,59605,59701,57376,51954,55969,52893,54334,50662,49064,51501,54003,54367,56645,53452,46976,46130
Hawaii,80108,75393,75480,68379,75619,69355,61648,66068,68719,65289,71927,77726,75496,76803,74949,70941,66210,67447,75373,67284,63039,64060,66785,70334,71027,73208,74088,67155,72729,68695,67583,74261,63614,64634,66659
Idaho,58728,60947,59189,54716,56737,52330,52508,53102,54304,54881,55441,59712,57696,56941,59112,57991,52790,54370,54996,54124,56636,52276,55492,53633,53009,53213,48739,47088,47285,48341,47990,44009,45510,46333,48688
Illinois,70145,67577,64235,64032,58306,58236,56690,56658,58549,62028,62262,63745,60765,62383,61403,61797,59781,65644,67357,70044,66669,64606,63239,62488,58968,56383,55507,57488,60809,61372,60420,57429,58148,55503,54828
Indiana,59892,60200,58697,55097,51027,53397,50575,49730,53253,51980,54389,57610,56690,54699,56408,58064,57453,57409,59754,61741,61347,60860,56193,54797,46827,50579,50192,48842,50318,50780,53808,47750,49851,50605,52561
Iowa,68718,65014,61836,64500,61379,64951,58557,56191,56573,59507,58623,59377,60084,59936,57823,56639,57456,58258,59939,62134,57159,52869,53094,58300,55603,49186,50567,51482,50991,51499,49740,47052,49261,46704,45851
Kansas,63938,58287,59446,58152,56743,51632,54788,51634,53155,52463,55975,58878,56871,54171,54725,60537,59654,58882,60038,56465,56684,57076,52097,49801,47607,51086,53387,52820,55904,52670,52320,54247,52478,50857,56853
Kentucky,54555,50883,47474,44926,45427,48456,45018,44595,47442,50054,48108,47897,49296,47303,47454,50551,51456,54648,53028,51007,55975,52351,51822,48929,44704,41829,41317,42847,46304,45652,40739,43835,43591,38745,40812
Louisiana,49973,44627,44154,48673,45024,50125,42826,45493,45359,53303,46255,50156,45555,47995,48546,45858,47601,47376,44917,49368,49000,52051,48383,45875,43159,45152,44754,45615,41866,44825,41947,45269,45819,47266,43741
Maine,58663,54616,53216,53796,54902,59338,53863,55602,55321,55730,55216,58146,56983,56615,55076,50793,51583,52054,54492,58754,55030,51287,55472,55573,50958,47084,52105,50247,51320,55335,54031,50042,51377,45793,47663
Maryland,86223,84094,77183,78002,80867,74881,78711,77066,74100,75305,74487,79678,79488,77997,76096,71598,78953,76107,79743,78926,77227,73060,70336,67363,65888,68536,65450,66625,72609,70619,74803,74151,67125,67256,68577
Massachusetts,86345,78102,75620,71926,67049,67513,69748,70842,70329,69658,70523,70977,69078,72203,69321,69738,69782,74291,68364,66529,65383,65764,63143,63314,68077,63602,63966,64393,67732,70756,67970,68364,66544,62951,62231
Michigan,60449,57780,59740,57450,55215,61076,54802,54691,53411,53961,58209,59938,60735,59205,56311,61618,59788,64046,66549,69680,64574,60630,62713,59788,59309,56048,56767,57908,55941,60342,60314,58740,58354,54102,53012
Minnesota,71817,71681,73477,72847,71395,69451,67709,64695,60388,65806,64215,70485,70178,69880,74765,72294,76454,74900,79328,71115,74000,66611,65536,62262,56553,57799,54504,53151,58796,59186,59526,59545,57999,53240,56407
Mississippi,42781,44336,43006,42435,37714,34916,40148,45976,44044,41154,42611,45259,43363,42374,46315,44792,43225,42882,50153,49102,44963,44600,42651,43559,42695,38080,36188,35114,37705,39053,37176,39255,36219,36630,35618
Missouri,61726,57908,57569,62742,60126,49994,54527,51217,52881,57217,53825,55852,55656,55407,56152,59893,59873,58774,65943,62565,62072,57204,54783,57161,50747,49219,48136,50351,51073,51954,47976,50296,48089,48962,47956
Montana,57679,58806,59724,54474,54256,46644,49403,45066,47645,47442,50156,52999,51319,48095,45250,46681,48758,45675,47928,46925,48756,45716,45860,45559,46445,45423,46665,44764,43679,46454,45495,43413,44587,45162,45096
Nebraska,67575,61035,62129,64097,60380,62216,57191,62229,60599,58186,59308,59700,60108,61770,58350,60184,59901,62004,61048,58397,56223,54292,54381,54049,53443,53210,52863,53278,51353,51605,51488,49338,47754,48650,49392
Nevada,61864,59456,58003,55123,52954,55979,51863,52637,59094,60344,64004,65629,65273,62139,62905,61840,62928,64552,66909,62683,61385,60805,61617,59227,60296,61457,56135,59386,59839,57529,57267,56992,57503,51942,59500
New Hampshire,81346,77474,79799,80208,77928,74607,74310,73714,76907,75240,77369,82041,77368,73450,75712,76050,77433,72980,74466,69629,69417,64160,63003,64294,59244,65147,69379,64967,76249,73591,70860,68570,67003,58925,59819
New Jersey,74176,72977,71645,72452,69270,68836,73075,69751,72677,75998,76352,73460,84970,81678,73660,76704,76379,73606,73704,75191,76934,75151,75891,72095,71069,69498,68612,72209,72379,76705,74261,72605,69562,69139,64117
New Mexico,48283,46713,50699,47822,49568,43368,47580,46974,52093,51084,49223,53850,49974,50201,52721,48045,49629,47094,51314,49247,48704,47083,40107,42661,45225,45917,45495,47852,46788,44317,39489,44016,43527,45579,47622
New York,67274,63043,64288,61480,57662,53949,52243,56657,57456,58915,58996,59421,60204,60808,59500,58560,58740,59876,59577,60458,57738,56022,56613,54211,53619,54392,54627,57325,59032,61756,59174,55945,54889,52756,50846
North Carolina,53369,50755,56259,53840,49672,50030,45530,50581,50588,49165,50191,52827,49686,54208,53622,51021,51110,54257,56029,56323,55336,56088,56919,52489,50619,49455,48857,48417,49199,51776,49965,48261,47949,47873,47481
North Dakota,66505,61634,62977,60854,64479,63867,61103,63063,58870,58749,58026,57309,51246,54383,52265,55306,50669,50889,52635,49382,46791,49548,50314,47746,47533,48251,47428,46684,47209,49468,49304,47870,47175,47324,47947
Ohio,61633,62167,56490,56494,52708,54793,48622,49957,52961,53826,54873,59609,57305,56975,57376,59562,59745,59408,62821,59702,60102,56548,54471,57351,53545,53685,55248,53712,56083,56903,56770,54649,55086,56182,53376
Oklahoma,54434,53147,53307,49897,50113,49841,53040,54217,49749,53825,53910,52466,48488,48523,52790,49136,51030,50627,47423,49412,52076,49063,43866,43186,45369,45062,44482,45909,45564,46405,48434,45994,45946,47324,48817
Oregon,69165,64021,61879,64478,62509,52905,56730,57653,58404,57603,60476,60989,58792,56919,54629,56986,58510,58680,62144,61410,60321,58290,56744,59703,52875,56865,56168,54433,54715,55939,56786,53091,54336,48862,49397
Pennsylvania,64524,62779,63809,64006,58579,59552,56871,55845,55763,56517,60096,58805,60523,59678,58776,58759,59484,61845,61671,57085,60241,58713,55796,56667,53900,53188,52571,54752,54199,56254,54727,53909,52217,51056,46966
Rhode Island,62266,66995,64383,59038,62252,60812,61431,54864,59582,60578,62246,65814,67088,63782,63879,61192,59371,65007,61702,64585,62821,54456,59133,58037,53668,57502,53538,55598,59736,59066,61071,59991,58212,54957,49888
South Carolina,57444,55866,56858,49137,47702,47035,48650,44850,48127,48221,49285,53677,49461,51854,51560,52663,52925,53652,54936,55125,51366,53619,55422,47716,50168,44707,48517,49516,53695,46662,52253,53114,48184,44715,46881
South Dakota,59463,58301,60116,58364,56328,57670,54144,52838,52344,53764,60328,56354,56715,55620,54780,54090,53011,56403,53335,54167,50623,46470,47206,48548,49978,47597,46197,44425,45914,47270,45624,44849,43643,40488,44803
Tennessee,56060,56654,53727,50165,46415,46817,47110,47306,44541,47535,46417,50013,50804,50792,50735,51355,51831,50875,49856,55216,52638,47944,49227,47624,48140,43075,42782,44089,42216,44335,42682,44908,40042,39676,38739
Texas,59785,61557,60844,59856,57201,55503,56896,54879,54554,55699,54353,55911,54068,53391,55166,53747,56196,58093,56456,58491,55251,54891,52875,52588,51696,49296,49177,50003,52747,50756,51086,52419,52996,52988,53148
Utah,77067,71490,70613,70227,67296,65913,63924,62092,65443,68623,73115,64987,68202,70651,67791,67439,66991,67309,69529,69621,68400,66941,59216,59877,60035,61409,60257,50513,56324,60229,53849,56252,57644,56325,53224
Vermont,70066,65234,63660,63058,64455,70735,60901,58029,64551,61381,59283,57534,64897,65355,63071,59208,60186,57999,57896,62869,60792,54857,51734,55518,60180,53308,57625,52567,58110,61362,59324,53890,53954,58025,52118
Virginia,77151,72537,69535,65169,70239,71160,70818,70062,69675,70981,72469,71824,71312,66915,68151,74977,69468,71431,68964,69081,66941,67226,62690,59454,63281,62519,67201,65156,65538,66897,66814,63604,65176,63446,61229
Washington,79726,73284,73573,71271,62714,69017,68139,63610,64822,70853,66210,70512,68321,65280,66527,65020,63243,60411,62182,68749,73220,69738,58637,58380,56366,61184,59639,61249,60005,62668,66157,57928,58960,53562,57748
West Virginia,50573,48102,46412,45389,41993,46502,47721,46794,49372,47504,44420,51101,47965,46976,44473,44840,41094,42188,43006,44293,41232,43018,40365,40837,39609,38475,35662,41735,41366,42503,39606,36486,36111,35670,38880
Wisconsin,62629,65029,62593,58745,61665,55849,58159,58248,58114,60112,59860,62253,64536,57552,60943,63324,64250,64471,65929,69042,63811,61965,63953,67222,59484,54511,58598,56134,57387,57103,60525,55913,57970,51879,47882
Wyoming,62539,60987,60513,64575,59128,72817,63016,60991,60249,61559,62359,59178,58730,57639,60497,58241,55656,56471,57947,56314,54428,52306,49487,51751,55705,50523,53146,52378,55050,57884,54066,58502,51673,49279,54976